date,temperature,flower_status
2017/4/7,17.4,0
2017/4/8,16.3,0
2017/4/9,14.6,0
2017/4/10,11.2,0
2017/4/11,9.6,0
2017/4/12,14.6,scatter
2017/4/13,12.7,0
2017/4/14,15.1,0
2017/4/15,19.4,0
2017/4/16,18.6,0
2017/4/17,17.5,0
2017/4/18,19.1,0
2017/4/19,19.4,0
2017/4/20,15.2,0
2017/4/21,15.6,0
2017/4/22,15.0,0
2017/4/23,13.7,0
2017/4/24,14.5,0
2017/4/25,16.2,0
2017/4/26,16.9,0
2017/4/27,14.7,0
2017/4/28,15.9,0
2017/4/29,17.2,0
2017/4/30,18.2,0
2017/5/1,18.2,0
2017/5/2,16.7,0
2017/5/3,17.2,0
2017/5/4,18.4,0
2017/5/5,19.3,0
2017/5/6,21.1,0
2017/5/7,19.9,0
2017/5/8,20.3,0
2017/5/9,19.2,0
2017/5/10,16.8,0
2017/5/11,20.6,0
2017/5/12,20.7,0
2017/5/13,18.3,0
2017/5/14,18.2,0
2017/5/15,17.8,0
2017/5/16,18.7,0
2017/5/17,17.5,0
2017/5/18,18.4,0
2017/5/19,19.6,0
2017/5/20,21.7,0
2017/5/21,23.3,0
2017/5/22,22.6,0
2017/5/23,22.0,0
2017/5/24,22.1,0
2017/5/25,21.4,0
2017/5/26,19.2,0
2017/5/27,20.8,0
2017/5/28,20.9,0
2017/5/29,21.4,0
2017/5/30,22.7,0
2017/5/31,23.2,0
2018/3/1,13.1,0
2018/3/2,10.4,0
2018/3/3,10.1,0
2018/3/4,14.8,0
2018/3/5,16.5,0
2018/3/6,8.3,0
2018/3/7,5.7,0
2018/3/8,6.7,0
2018/3/9,13.7,0
2018/3/10,7.9,0
2018/3/11,9.6,0
2018/3/12,9.8,0
2018/3/13,12.1,0
2018/3/14,14.5,0
2018/3/15,16.4,0
2018/3/16,14.3,0
2018/3/17,7.3,0
2018/3/18,11.7,0
2018/3/19,15.2,bloom starts
2018/3/20,9.2,0
2018/3/21,4.8,0
2018/3/22,9.2,0
2018/3/23,12.2,0
2018/3/24,11.7,0
2018/3/25,13.2,0
2018/3/26,14.7,full
2018/3/27,15.5,0
2018/3/28,16.8,0
2018/3/29,17.5,0
2018/3/30,14.3,0
2018/3/31,13.7,0
2018/4/1,16.4,0
2018/4/2,17.2,scatter
2018/4/3,17.4,0
2018/4/4,20.4,0
2018/4/5,13.4,0
2018/4/6,17.4,0
2018/4/7,17.9,0
2018/4/8,12.8,0
2018/4/9,14.7,0
2018/4/10,13.9,0
2018/4/11,17.9,0
2018/4/12,19.1,0
2018/4/13,15.8,0
2018/4/14,15.6,0
2018/4/15,18.3,0
2018/4/16,15.0,0
2018/4/17,13.4,0
2018/4/18,13.5,0
2018/4/19,16.4,0
2018/4/20,18.4,0
2018/4/21,19.4,0
2018/4/22,20.3,0
2018/4/23,16.7,0
2018/4/24,18.6,0
2018/4/25,19.0,0
2018/4/26,18.9,0
2018/4/27,18.9,0
2018/4/28,20.2,0
2018/4/29,20.5,0
2018/4/30,21.2,0
2018/5/1,21.8,0
2018/5/2,20.4,0
2018/5/3,21.9,0
2018/5/4,19.3,0
2018/5/5,18.6,0
2018/5/6,21.0,0
2018/5/7,18.3,0
2018/5/8,14.1,0
2018/5/9,13.1,0
2018/5/10,13.1,0
2018/5/11,16.8,0
2018/5/12,18.8,0
2018/5/13,18.5,0
2018/5/14,21.1,0
2018/5/15,22.8,0
2018/5/16,23.5,0
2018/5/17,23.3,0
2018/5/18,22.1,0
2018/5/19,21.4,0
2018/5/20,16.7,0
2018/5/21,20.4,0
2018/5/22,20.9,0
2018/5/23,18.8,0
2018/5/24,20.7,0
2018/5/25,23.1,0
2018/5/26,21.8,0
2018/5/27,21.1,0
2018/5/28,21.9,0
2018/5/29,23.4,0
2018/5/30,21.1,0
2018/5/31,20.2,0
2019/3/1,9.6,0
2019/3/2,10.3,0
2019/3/3,7.6,0
2019/3/4,8.4,0
2019/3/5,9.7,0
2019/3/6,11.6,0
2019/3/7,9.2,0
2019/3/8,8.2,0
2019/3/9,11.5,0
2019/3/10,12.6,0
2019/3/11,12.4,0
2019/3/12,12.4,0
2019/3/13,13.1,0
2019/3/14,9.3,0
2019/3/15,10.3,0
2019/3/16,9.7,0
2019/3/17,9.8,0
2019/3/18,10.3,0
2019/3/19,13.7,0
2019/3/20,14.9,0
2019/3/21,17.4,0
2019/3/22,16.7,bloom starts
2019/3/23,7.3,0
2019/3/24,9.0,0
2019/3/25,10.8,0
2019/3/26,12.1,0
2019/3/27,15.0,0
2019/3/28,13.8,0
2019/3/29,8.0,0
2019/3/30,9.3,0
2019/3/31,10.9,0
2019/4/1,9.2,0
2019/4/2,8.1,0
2019/4/3,9.0,full
2019/4/4,11.2,0
2019/4/5,16.9,0
2019/4/6,16.1,scatter
2019/4/7,15.4,0
2019/4/8,10.3,0
2019/4/9,11.7,0
2019/4/10,7.6,0
2019/4/11,10.8,0
2019/4/12,9.7,0
2019/4/13,11.8,0
2019/4/14,15.1,0
2019/4/15,16.0,0
2019/4/16,15.2,0
2019/4/17,15.5,0
2019/4/18,17.1,0
2019/4/19,18.4,0
2019/4/20,14.2,0
2019/4/21,17.5,0
2019/4/22,18.5,0
2019/4/23,18.4,0
2019/4/24,19.5,0
2019/4/25,19.8,0
2019/4/26,13.2,0
2019/4/27,10.9,0
2019/4/28,12.4,0
2019/4/29,15.1,0
2019/4/30,15.3,0
2019/5/1,17.4,0
2019/5/2,18.0,0
2019/5/3,18.4,0
2019/5/4,18.8,0
2019/5/5,18.8,0
2019/5/6,19.4,0
2019/5/7,16.1,0
2019/5/8,16.8,0
2019/5/9,19.7,0
2019/5/10,20.3,0
2019/5/11,20.6,0
2019/5/12,17.6,0
2019/5/13,17.2,0
2019/5/14,18.1,0
2019/5/15,18.9,0
2019/5/16,20.0,0
2019/5/17,20.2,0
2019/5/18,20.4,0
2019/5/19,20.2,0
2019/5/20,20.4,0
2019/5/21,20.6,0
2019/5/22,19.3,0
2019/5/23,21.3,0
2019/5/24,22.8,0
2019/5/25,24.1,0
2019/5/26,25.0,0
2019/5/27,24.8,0
2019/5/28,21.1,0
2019/5/29,20.2,0
2019/5/30,22.7,0
2019/5/31,21.9,0
2020/3/1,12.2,0
2020/3/2,8.3,0
2020/3/3,12.1,0
2020/3/4,9.7,0
2020/3/5,10.0,0
2020/3/6,9.8,0
2020/3/7,8.1,0
2020/3/8,8.3,0
2020/3/9,12.9,0
2020/3/10,14.6,0
2020/3/11,16.3,0
2020/3/12,11.5,0
2020/3/13,13.6,0
2020/3/14,6.7,bloom starts
2020/3/15,8.1,0
2020/3/16,8.2,0
2020/3/17,8.6,0
2020/3/18,12.4,0
2020/3/19,14.7,0
2020/3/20,15.7,0
2020/3/21,14.9,0
2020/3/22,17.2,0
2020/3/23,10.9,0
2020/3/24,9.2,full
2020/3/25,10.4,0
2020/3/26,13.2,0
2020/3/27,16.9,0
2020/3/28,15.3,0
2020/3/29,5.4,0
2020/3/30,8.3,0
2020/3/31,10.7,0
2020/4/1,12.2,0
2020/4/2,14.9,scatter
2020/4/3,13.3,0
2020/4/4,16.1,0
2020/4/5,11.9,0
2020/4/6,12.4,0
2020/4/7,12.6,0
2020/4/8,14.9,0
2020/4/9,14.1,0
